序號,國別地區,中文片名,申請人,出品,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
1,美國,金牌拳手III,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,55,"8,224",>=1000K,"17,823","4,627,976"
2,英國,小熊維尼：血與蜜,可樂藝術文創股份有限公司,PREMIERE ENTERTAINMENT GROUP LLC,48,"2,016",<1000K,"5,521","1,338,961"
3,中華民國,本日公休,威視股份有限公司,"伯樂影業股份有限公司 ,華文創股份有限公司 ,有余企劃製作有限公司 ,得利影視股份有限公司 ,中環國際娛樂事業股份有限公司 ,意妍堂製作股份有限公司",79,"23,052",>=1000K,"41,792","9,340,767"
4,美國,火線埋伏,采昌國際多媒體股份有限公司,ATRIUM PRODUCTIONS KFT.,36,741,<1000K,"1,840","424,388"
5,南韓,維特:音樂劇,仲業股份有限公司,Wys En Scene,9,"1,243",<1000K,"2,578","1,416,330"
6,美國,血仇生死鬥,車庫娛樂股份有限公司,RELAY MOTION KFT.,20,227,<1000K,518,"119,304"
7,美國,驚爆點,車庫娛樂股份有限公司,待補,9,105,<1000K,235,"52,127"
8,美國,光影帝國,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",28,598,<1000K,"1,194","262,836"
9,法國,玩具當家,鴻聯國際開發股份有限公司,WILD BUNCH INTERNATIONAL,15,301,<1000K,942,"214,406"
10,美國,TÁR 塔爾,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,36,"2,963",<1000K,"3,131","815,504"
11,日本,鈴芽之旅,車庫娛樂股份有限公司,"TOHO CO., LTD.",76,"207,110",>=1000K,"471,619","125,238,013"
12,日本,我們的黎明,采昌國際多媒體股份有限公司,GAGA CORPORATION,20,143,<1000K,"1,442","346,987"
13,愛爾蘭,巫母,車庫娛樂股份有限公司,RELAY MOTION KFT.,28,319,<1000K,"6,758","1,688,188"
14,美國,殺手迴戰,車庫娛樂股份有限公司,RELAY MOTION KFT.,47,404,<1000K,"9,715","2,196,774"
15,俄羅斯,胡桃鉗與魔笛公主的奇幻冒險,希望影視行銷股份有限公司,Luminescence Kft.,29,622,<1000K,"8,115","1,930,068"
16,美國,所有的美麗與血淚,好威映象有限公司,Altitude Film Sales Limited,14,413,<1000K,473,"105,976"
17,法國,盲柳與沉睡的女人,聯影企業股份有限公司,THE MATCH FACTORY,5,90,<1000K,745,"163,923"
18,法國,不離職冒險王,香港商甲上娛樂有限公司台灣分公司,SOCIETE NOUVELLE DE DISTRIBUTION,11,175,<1000K,"2,451","586,006"
19,美國,人肉搜索2：失蹤搜救,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,91,"3,044",<1000K,"26,346","6,434,315"
20,法國,回到首爾,捷傑有限公司,MK2 FILMS,5,50,<1000K,598,"128,895"
21,美國,法貝爾曼,美商美國環球影片股份有限公司台灣分公司,UNIVERSAL INTERNATIONAL FILMS LLC,51,"1,041",<1000K,"6,611","1,617,344"
22,香港,風再起時,華映國際文創股份有限公司,"大地時代文化傳播（北京）有限公司,美亞電影製作有限公司,大地電影發行（香港）有限公司,美亞長城傳媒（北京）有限公司,博納影業集團股份有限公司,北京拉近影業有限公司,高寶集團影視有限公司,天津貓眼微影文化傳媒有限公司,大地時代文化傳播（天津）有限公司,美亞娛樂發展股份有限公司,上海博納文化傳媒有限公司,北京影聯影業有限公司,中銘盛世（深圳）影業集團有限公司,高益創新投資公共有限公司",69,"1,208",<1000K,"15,067","3,535,718"
23,南韓,首爾怪談,車庫娛樂股份有限公司,RELAY MOTION KFT.,4,53,<1000K,"8,060","1,917,099"
24,日本,追海豚的長崎夏日,中影股份有限公司,"KINOSHITA GROUP CO., LTD.",3,146,<1000K,"1,180","256,422"
25,法國,愛在生命終結時,本萃電影有限公司,THE MATCH FACTORY GmbH,1,10,<1000K,530,"113,556"
