日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2023/1/3,30.698,4.445377,1.05875,130.335,1.19585,0.67555,7.81485,6.9056,17.04435,0.62655
2023/1/4,30.714,4.461055,1.0628,130.055,1.2073,0.68685,7.81845,6.8849,16.8113,0.63365
2023/1/5,30.71,4.461487,1.0612,132.855,1.2009,0.6804,7.8141,6.88335,16.9954,0.6279
2023/1/6,30.712,4.472558,1.0524,134.285,1.1903,0.67525,7.8109,6.86675,17.1742,0.6222
2023/1/9,30.52,4.501883,1.0691,132.115,1.21505,0.69345,7.80695,6.7794,17.0476,0.6398
2023/1/10,30.463,4.486956,1.0739,132.145,1.216,0.68975,7.80775,6.78925,16.9961,0.6372
2023/1/11,30.435,4.487245,1.0742,132.535,1.21545,0.69035,7.81295,6.78255,17.0396,0.6369
2023/1/12,30.458,4.502545,1.0755,131.665,1.2144,0.689,7.81295,6.7646,16.89015,0.6342
2023/1/13,30.387,4.520765,1.08535,128.195,1.2221,0.69805,7.80965,6.72165,16.73365,0.6385
2023/1/16,30.268,4.49613,1.0814,128.505,1.22055,0.69645,7.81125,6.732,17.0188,0.63805
2023/1/17,30.315,4.476828,1.0837,128.525,1.2225,0.69715,7.81795,6.77155,16.9851,0.6407
2023/1/30,30.137,4.464224,1.08835,129.925,1.23865,0.70825,7.83585,6.7508,17.2262,0.64805
2023/1/31,30.052,4.447005,1.0814,130.235,1.232,0.7021,7.83955,6.7578,17.41825,0.6446
2023/2/1,29.965,4.439884,1.0874,130.175,1.23185,0.70745,7.8423,6.74905,17.39585,0.6444
2023/2/2,29.7,4.416746,1.1006,128.585,1.2389,0.7147,7.84315,6.7244,17.05965,0.65265
2023/2/3,29.72,4.403315,1.0888,128.615,1.2189,0.7059,7.84615,6.74945,17.1073,0.6469
2023/2/6,29.984,4.415624,1.0787,131.845,1.2065,0.6929,7.8482,6.79045,17.49205,0.6326
2023/2/7,30.043,4.416922,1.0705,132.245,1.1992,0.69135,7.84855,6.8018,17.6776,0.6303
2023/2/8,30.06,4.42862,1.0749,130.935,1.2094,0.6982,7.84945,6.78765,17.50885,0.6335
2023/2/9,30.068,4.428595,1.0739,130.975,1.2104,0.6972,7.8498,6.7895,17.73005,0.6361
2023/2/10,30.136,4.427641,1.0741,130.055,1.2124,0.6949,7.8498,6.80635,17.728,0.6341
2023/2/13,30.238,4.425755,1.06815,132.225,1.2058,0.6925,7.84995,6.8323,17.9159,0.6329
2023/2/14,30.215,4.428069,1.0739,131.945,1.21575,0.69655,7.84985,6.8235,17.83605,0.6339
2023/2/15,30.308,4.421361,1.0716,133.365,1.2077,0.69015,7.84835,6.8549,17.9894,0.62795
2023/2/16,30.28,4.411675,1.07105,133.735,1.2058,0.69255,7.8493,6.8636,18.00815,0.62985
2023/2/17,30.404,4.412624,1.06405,134.885,1.192,0.68325,7.84845,6.89025,18.2671,0.62075
2023/2/20,30.371,4.426087,1.0697,134.075,1.2048,0.6907,7.8354,6.8618,18.01005,0.62425
2023/2/21,30.415,4.420516,1.06885,134.715,1.20305,0.68865,7.84195,6.8804,18.19195,0.6229
2023/2/22,30.504,4.422043,1.0654,134.715,1.2107,0.68255,7.84435,6.89815,18.3615,0.6231
2023/2/23,30.405,4.407205,1.0611,134.875,1.2053,0.6827,7.84325,6.89895,18.3552,0.6239
2023/2/24,30.48,4.382658,1.0582,134.925,1.2007,0.6781,7.84785,6.9547,18.2929,0.6206
2023/3/1,30.588,4.434404,1.064,135.935,1.2086,0.6772,7.84945,6.8979,18.12965,0.6245
2023/3/2,30.63,4.4253,1.0628,136.735,1.1961,0.67285,7.84945,6.92155,18.2149,0.6213
2023/3/3,30.627,4.434606,1.0614,136.315,1.19785,0.6756,7.84975,6.90635,18.1571,0.6231
2023/3/6,30.576,4.414074,1.0652,135.825,1.2042,0.6752,7.84985,6.92695,18.1753,0.6212
2023/3/7,30.594,4.411716,1.06725,135.785,1.20205,0.6684,7.84985,6.9347,18.3091,0.62
2023/3/8,30.79,4.410791,1.0542,137.475,1.1823,0.6598,7.84995,6.9806,18.5992,0.6118
2023/3/9,30.81,4.412331,1.055,136.805,1.1842,0.66085,7.84995,6.9827,18.63725,0.61165
2023/3/10,30.848,4.423943,1.0584,136.115,1.1943,0.65895,7.8497,6.97295,18.4787,0.61085
2023/3/13,30.651,4.440625,1.07245,134.505,1.2114,0.6676,7.8482,6.9024,18.10525,0.6193
2023/3/14,30.62,4.453097,1.0698,133.895,1.21495,0.6667,7.84535,6.8761,18.2187,0.6224
2023/3/15,30.592,4.435473,1.07335,134.945,1.215,0.66735,7.84965,6.8971,18.18855,0.62085
2023/3/16,30.631,4.439412,1.0631,132.755,1.2108,0.6656,7.84875,6.8998,18.3246,0.6176
2023/3/17,30.554,4.447196,1.0659,133.265,1.21585,0.6707,7.84975,6.8704,18.29195,0.6245
2023/3/20,30.593,4.438983,1.0648,130.77,1.2176,0.66845,7.8476,6.8919,18.5305,0.625
2023/3/21,30.563,4.446397,1.0731,132.075,1.2248,0.66875,7.8436,6.87365,18.53205,0.6205
2023/3/22,30.526,4.428682,1.0769,132.455,1.22675,0.6689,7.84575,6.8928,18.5265,0.62135
2023/3/23,30.372,4.452717,1.09035,130.905,1.23165,0.6737,7.84945,6.821,18.14115,0.6288
2023/3/24,30.353,4.425589,1.0795,130.035,1.2252,0.6674,7.8493,6.8585,18.1645,0.6227
2023/3/27,30.372,4.411624,1.076,130.955,1.2246,0.6648,7.84985,6.88455,18.2912,0.6202
2023/3/28,30.385,4.411203,1.0822,131.175,1.23105,0.66805,7.84985,6.88815,18.2745,0.62295
2023/3/29,30.455,4.419508,1.0835,132.025,1.2318,0.66725,7.84965,6.89105,18.1503,0.6236
2023/3/30,30.461,4.427872,1.0862,132.575,1.2352,0.67125,7.84995,6.8794,18.0764,0.62415
2023/3/31,30.454,4.431636,1.0884,133.185,1.2373,0.6677,7.84985,6.87195,17.7894,0.62535
2023/4/6,30.528,4.435535,1.0903,131.385,1.2472,0.6702,7.84985,6.8826,18.14875,0.62865
2023/4/7,30.446,4.426087,1.0914,131.84,1.24365,0.66795,7.84995,6.87875,18.232,0.62615
2023/4/10,30.452,4.428848,1.0914,132.035,1.2428,0.667,7.84995,6.87585,18.3367,0.62495
2023/4/11,30.475,4.42305,1.0907,133.135,1.24395,0.6671,7.8499,6.89005,18.33825,0.62235
2023/4/12,30.505,4.429265,1.0927,133.835,1.2416,0.66615,7.84995,6.88715,18.4018,0.6189
2023/4/13,30.496,4.434911,1.1016,132.935,1.2509,0.6728,7.84965,6.87635,18.3187,0.62375
2023/4/14,30.465,4.447738,1.1058,132.315,1.25115,0.6769,7.84985,6.84955,18.0948,0.6299
